Customer ID,Country,State,City,Zip Code,Gender,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,CustomerID,Age,Under 30,Married,Number of Dependents,ID,Population,Quarter,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E
3668-QPYBK,United States,California,Los Angeles,90003,1,0,0,2,Yes,No,DSL,Yes,Yes,No,No,No,No,1,53.85,108.15,Yes,1,0.8526315789473684,0.27484989993328884,Competitor made better offer,3668-QPYBK,37,No,No,0,3,"58,198",Q3,0,0.0140845070422535,0.2094418883776755,0.2470588235294117,No,No,No,Yes,0.354228855721393,0.0,0,20.94,0.0090090466784523,1,Churned,Competitor,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
9237-HQITU,United States,California,Los Angeles,90005,0,0,1,2,Yes,No,Fiber optic,No,No,No,No,No,No,1,70.7,151.65,Yes,1,0.6526315789473685,0.15521458750277967,Moved,9237-HQITU,19,Yes,No,2,5,"43,019",Q3,0,0.0140845070422535,0.1824364872974594,0.6,No,No,No,Yes,0.5218905472636816,0.0,0,18.24,0.0124209941812914,2,Churned,Other,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
9305-CDSKC,United States,California,Los Angeles,90006,0,0,1,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,99.65,820.5,Yes,1,0.8526315789473684,0.7491661107404937,Moved,9305-CDSKC,31,No,No,2,6,"62,784",Q3,0,0.0985915492957746,0.2430486097219444,0.3058823529411765,Yes,No,Yes,Yes,0.8099502487562189,0.0,0,97.2,0.0749574760954609,3,Churned,Other,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7892-POOKP,United States,California,Los Angeles,90010,0,1,1,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,1,104.8,3046.05,Yes,1,0.831578947368421,0.6671114076050699,Moved,7892-POOKP,23,Yes,Yes,3,9,"1,957",Q3,0,0.3802816901408451,0.0978195639127825,0.5529411764705883,Yes,Yes,Yes,Yes,0.8611940298507462,0.0,0,136.92,0.2643933172659596,3,Churned,Other,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0280-XJGEX,United States,California,Los Angeles,90015,1,0,1,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,103.7,5036.3,Yes,1,0.8842105263157896,0.7420502557260396,Competitor had better devices,0280-XJGEX,38,No,No,1,14,"15,140",Q3,0,0.676056338028169,0.8867773554710943,0.1294117647058823,Yes,No,Yes,Yes,0.8502487562189055,0.0,0,2172.17,0.6010304415963231,1,Churned,Competitor,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4190-MFLUW,United States,California,Los Angeles,90020,0,1,0,10,Yes,No,DSL,No,No,Yes,Yes,No,No,0,55.2,528.35,Yes,1,0.7684210526315789,0.8721369802090282,Competitor offered higher download speeds,4190-MFLUW,21,Yes,Yes,0,19,"42,394",Q3,6,0.1267605633802817,0.1882376475295059,0.8117647058823529,Yes,Yes,No,Yes,0.3676616915422885,0.0,0,94.1,0.0502668510902343,1,Churned,Competitor,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8779-QRDMV,United States,California,Los Angeles,90022,1,0,0,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,1,39.65,39.65,Yes,1,1.0,0.7627307093617968,Competitor offered more data,8779-QRDMV,78,No,No,0,21,"68,701",Q3,0,0.0,0.0,0.0941176470588235,Yes,No,No,No,0.2129353233830845,0.0,20,0.0,0.003202045830483,3,Churned,Competitor,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1066-JKSGK,United States,California,Los Angeles,90024,1,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,20.15,Yes,1,0.9157894736842105,0.6290860573715811,Competitor made better offer,1066-JKSGK,29,Yes,No,0,23,"44,150",Q3,0,0.0,0.6717343468693738,0.0,No,No,No,No,0.0189054726368158,0.0,0,33.58,0.0027069789379142,1,Churned,Competitor,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
6467-CHFZW,United States,California,Los Angeles,90028,1,1,1,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1,99.35,4749.15,Yes,1,0.7578947368421052,0.8418945963975983,Competitor had better devices,6467-CHFZW,61,No,Yes,1,27,"30,568",Q3,1,0.647887323943662,0.627125425085017,0.188235294117647,No,No,Yes,Yes,0.8069651741293532,0.0,0,1473.45,0.5185859150124018,1,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
8665-UTDHZ,United States,California,Los Angeles,90029,1,1,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,0,30.2,30.2,Yes,1,0.9684210526315791,0.20280186791194127,Competitor had better devices,8665-UTDHZ,27,Yes,Yes,0,28,"41,713",Q3,1,0.0,0.0,0.6823529411764706,No,No,No,Yes,0.1189054726368158,0.0,0,0.0,0.0007392552922818,1,Churned,Competitor,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
8773-HHUOZ,United States,California,Los Angeles,90032,0,0,0,17,Yes,No,DSL,No,No,No,No,Yes,Yes,1,64.7,1093.1,Yes,1,0.7263157894736842,0.22659550811652213,Competitor offered higher download speeds,8773-HHUOZ,20,Yes,No,0,30,"46,960",Q3,0,0.2253521126760563,0.8111622324464893,0.4823529411764706,No,No,Yes,Yes,0.4621890547263682,0.0,0,689.35,0.1472732016611501,1,Churned,Competitor,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6047-YHPVI,United States,California,Los Angeles,90039,1,0,1,5,Yes,No,Fiber optic,No,No,No,No,No,No,1,69.7,316.9,Yes,1,0.6421052631578947,0.10028908160996214,Competitor offered higher download speeds,6047-YHPVI,56,No,No,3,37,"29,310",Q3,0,0.056338028169014,0.2520504100820164,0.6823529411764706,No,No,No,Yes,0.5119402985074627,0.0,0,63.0,0.0299833249428415,1,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
5380-WJKOV,United States,California,Los Angeles,90041,1,0,1,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,106.35,3549.25,Yes,1,0.631578947368421,0.20858350011118526,Competitor offered higher download speeds,5380-WJKOV,51,No,No,1,39,"27,866",Q3,0,0.4647887323943662,0.4338867773554711,0.3294117647058823,Yes,No,Yes,Yes,0.8766169154228854,0.0,0,737.46,0.356694859834186,2,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
8168-UQWWF,United States,California,Los Angeles,90042,0,0,1,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,97.85,1105.4,Yes,1,0.6842105263157894,0.8163219924394041,Competitor offered more data,8168-UQWWF,48,No,No,2,40,"64,672",Q3,0,0.1408450704225352,0.5515103020604121,0.2117647058823529,Yes,No,Yes,Yes,0.7920398009950248,0.0,0,303.27,0.116015413974601,3,Churned,Competitor,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7760-OYPDY,United States,California,Los Angeles,90056,0,0,1,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,1,80.65,144.15,Yes,1,0.894736842105263,0.7967533911496552,Competitor offered more data,7760-OYPDY,32,No,No,2,48,"8,115",Q3,0,0.0140845070422535,0.1170234046809361,0.2235294117647058,No,No,No,No,0.6208955223880598,0.0,20,11.7,0.0129194061204317,1,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
9420-LOJKX,United States,California,Los Angeles,90061,0,0,1,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,1,99.1,1426.4,Yes,1,0.8105263157894738,0.21414276184122744,Competitor offered more data,9420-LOJKX,34,No,No,1,52,"24,511",Q3,0,0.1971830985915492,0.0792158431686337,0.2352941176470588,No,No,Yes,Yes,0.8044776119402984,0.0,0,59.4,0.1224655000259241,1,Churned,Competitor,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
7495-OOKFY,United States,California,Los Angeles,90063,0,1,1,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,1,80.65,633.3,Yes,1,0.6736842105263159,0.7336001778963752,Competitor made better offer,7495-OOKFY,74,No,Yes,1,54,"55,668",Q3,1,0.0985915492957746,0.9771954390878176,0.2,No,No,No,Yes,0.6208955223880598,0.0,0,390.8,0.0838552999754139,3,Churned,Competitor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
1658-BYGOY,United States,California,Los Angeles,90065,1,0,1,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,95.45,1752.55,Yes,1,0.8,0.26150767178118745,Competitor made better offer,1658-BYGOY,71,No,No,3,56,"47,534",Q3,0,0.2394366197183098,0.2266453290658131,0.611764705882353,No,No,Yes,Yes,0.7681592039800995,45.61,0,203.94,0.1580133099403076,2,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
5698-BQJOH,United States,California,Beverly Hills,90211,0,0,1,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,94.4,857.25,Yes,1,0.9578947368421054,0.7934178341116298,Price too high,5698-BQJOH,41,No,No,2,65,"8,321",Q3,0,0.1126760563380281,0.5443088617723545,0.3411764705882353,No,No,Yes,Yes,0.7577114427860697,0.0,0,244.89,0.0903814858362365,3,Churned,Price,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
5919-TMRGD,United States,California,Huntington Park,90255,0,0,1,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,1,79.35,79.35,Yes,1,0.8631578947368421,0.10673782521681124,Product dissatisfaction,5919-TMRGD,32,No,No,3,81,"78,114",Q3,0,0.0,0.2626525305061012,0.6705882352941176,No,No,No,Yes,0.607960199004975,0.0,0,13.13,0.0059474928039685,1,Churned,Competitor,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
9191-MYQKX,United States,California,Lynwood,90262,0,1,1,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,1,75.15,496.9,Yes,1,0.6842105263157894,0.32332666221925727,Service dissatisfaction,9191-MYQKX,34,No,Yes,5,83,"69,850",Q3,1,0.0845070422535211,0.1738347669533906,0.6235294117647059,Yes,No,No,Yes,0.5661691542288557,0.0,0,60.83,0.0448545657376914,1,Churned,Dissatisfaction,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8637-XJIVR,United States,California,Marina Del Rey,90292,0,0,1,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,1,78.95,927.35,Yes,1,0.8526315789473684,0.8456748943740271,Lack of self-service on Website,8637-XJIVR,34,No,No,3,96,"18,058",Q3,0,0.1549295774647887,0.5069013802760552,0.6588235294117647,No,No,No,No,0.6039800995024875,0.0,80,304.08,0.1078836057595011,1,Churned,Attitude,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0278-YXOOG,United States,California,Inglewood,90301,1,0,0,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.05,113.85,Yes,1,0.6421052631578947,0.13364465199021575,Network reliability,0278-YXOOG,30,No,No,0,98,"37,527",Q3,0,0.056338028169014,0.6853370674134827,0.0,No,No,No,No,0.0278606965174129,0.0,0,171.3,0.0220597458768119,3,Churned,Attitude,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
4598-XLKNJ,United States,California,Inglewood,90303,0,1,1,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,98.5,2514.5,Yes,1,0.8736842105263158,0.7413831443184344,Limited range of services,4598-XLKNJ,78,No,Yes,1,100,"27,778",Q3,1,0.3380281690140845,0.3952790558111623,0.1411764705882353,Yes,No,No,Yes,0.7985074626865671,13.43,0,494.0,0.248679960996757,2,Churned,Dissatisfaction,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
3192-NQECA,United States,California,Santa Monica,90403,1,1,0,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,110.0,7611.85,Yes,1,0.8526315789473684,0.6740048921503223,Lack of affordable download/upload speed,3192-NQECA,26,Yes,Yes,0,105,"23,559",Q3,4,0.943661971830986,0.2958591718343669,0.5529411764705883,Yes,Yes,Yes,Yes,0.9129353233830844,0.0,0,1005.72,0.7188680696907003,2,Churned,Competitor,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
0486-HECZI,United States,California,Torrance,90504,1,1,1,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,1,96.75,5238.9,Yes,1,0.736842105263158,0.7006893484545251,Long distance charges,0486-HECZI,37,No,Yes,1,111,"31,678",Q3,0,0.7605633802816901,0.9813962792558512,0.3176470588235294,No,No,No,Yes,0.7810945273631841,0.0,0,2698.3,0.6619713362959296,1,Churned,Price,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
4846-WHAFZ,United States,California,Whittier,90602,0,1,1,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,1,76.5,2868.15,Yes,1,0.6526315789473685,0.17567267066933506,Extra data charges,4846-WHAFZ,80,No,Yes,1,114,"26,265",Q3,1,0.5070422535211268,0.126625325065013,0.1647058823529411,No,No,No,Yes,0.5796019900497512,0.0,0,234.21,0.2576522121629238,2,Churned,Price,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
5299-RULOA,United States,California,Whittier,90606,0,1,1,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,1,100.25,1064.65,Yes,1,0.8631578947368421,0.8883700244607515,Price too high,5299-RULOA,62,No,Yes,2,118,"32,148",Q3,1,0.1267605633802817,0.4896979395879176,0.3529411764705882,No,No,Yes,Yes,0.8159203980099502,0.0,0,244.8,0.1077180259542163,2,Churned,Price,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
